Date,Births
1959/1/1,35
1959/1/2,32
1959/1/3,30
1959/1/4,31
1959/1/5,44
1959/1/6,29
1959/1/7,45
1959/1/8,43
1959/1/9,38
1959/1/10,27
1959/1/11,38
1959/1/12,33
1959/1/13,55
1959/1/14,47
1959/1/15,45
1959/1/16,37
1959/1/17,50
1959/1/18,43
1959/1/19,41
1959/1/20,52
1959/1/21,34
1959/1/22,53
1959/1/23,39
1959/1/24,32
1959/1/25,37
1959/1/26,43
1959/1/27,39
1959/1/28,35
1959/1/29,44
1959/1/30,38
1959/1/31,24
1959/2/1,23
1959/2/2,31
1959/2/3,44
1959/2/4,38
1959/2/5,50
1959/2/6,38
1959/2/7,51
1959/2/8,31
1959/2/9,31
1959/2/10,51
1959/2/11,36
1959/2/12,45
1959/2/13,51
1959/2/14,34
1959/2/15,52
1959/2/16,47
1959/2/17,45
1959/2/18,46
1959/2/19,39
1959/2/20,48
1959/2/21,37
1959/2/22,35
1959/2/23,52
1959/2/24,42
1959/2/25,45
1959/2/26,39
1959/2/27,37
1959/2/28,30
1959/3/1,35
1959/3/2,28
1959/3/3,45
1959/3/4,34
1959/3/5,36
1959/3/6,50
1959/3/7,44
1959/3/8,39
1959/3/9,32
1959/3/10,39
1959/3/11,45
1959/3/12,43
1959/3/13,39
1959/3/14,31
1959/3/15,27
1959/3/16,30
1959/3/17,42
1959/3/18,46
1959/3/19,41
1959/3/20,36
1959/3/21,45
1959/3/22,46
1959/3/23,43
1959/3/24,38
1959/3/25,34
1959/3/26,35
1959/3/27,56
1959/3/28,36
1959/3/29,32
1959/3/30,50
1959/3/31,41
1959/4/1,39
1959/4/2,41
1959/4/3,47
1959/4/4,34
1959/4/5,36
1959/4/6,33
1959/4/7,35
1959/4/8,38
1959/4/9,38
1959/4/10,34
1959/4/11,53
1959/4/12,34
1959/4/13,34
1959/4/14,38
1959/4/15,35
1959/4/16,32
1959/4/17,42
1959/4/18,34
1959/4/19,46
1959/4/20,30
1959/4/21,46
